t,x,y,z,fx,fy,fz
171.230000,1.702412,0.175400,1.600000,0.000000,0.000000,0.000000
171.240000,1.700471,0.175200,1.600000,0.000000,0.000000,0.000000
171.250000,1.698529,0.175000,1.600000,0.000000,0.000000,0.000000
171.260000,1.696588,0.174800,1.600000,0.000000,0.000000,0.000000
171.270000,1.694647,0.174600,1.600000,0.000000,0.000000,0.000000
171.280000,1.692706,0.174400,1.600000,0.000000,0.000000,0.000000
171.290000,1.690765,0.174200,1.600000,0.000000,0.000000,0.000000
171.300000,1.688824,0.174000,1.600000,0.000000,0.000000,0.000000
171.310000,1.686882,0.173800,1.600000,0.000000,0.000000,0.000000
171.320000,1.684941,0.173600,1.600000,0.000000,0.000000,0.000000
171.330000,1.683000,0.173400,1.600000,0.000000,0.000000,0.000000
171.340000,1.681059,0.173200,1.600000,0.000000,0.000000,0.000000
171.350000,1.679118,0.173000,1.600000,0.000000,0.000000,0.000000
171.360000,1.677176,0.172800,1.600000,0.000000,0.000000,0.000000
171.370000,1.675235,0.172600,1.600000,0.000000,0.000000,0.000000
171.380000,1.673294,0.172400,1.600000,0.000000,0.000000,0.000000
171.390000,1.671353,0.172200,1.600000,0.000000,0.000000,0.000000
171.400000,1.669412,0.172000,1.600000,0.000000,0.000000,0.000000
171.410000,1.667471,0.171800,1.600000,0.000000,0.000000,0.000000
171.420000,1.665529,0.171600,1.600000,0.000000,0.000000,0.000000
171.430000,1.663588,0.171400,1.600000,0.000000,0.000000,0.000000
171.440000,1.661647,0.171200,1.600000,0.000000,0.000000,0.000000
171.450000,1.659706,0.171000,1.600000,0.000000,0.000000,0.000000
171.460000,1.657765,0.170800,1.600000,0.000000,0.000000,0.000000
171.470000,1.655824,0.170600,1.600000,0.000000,0.000000,0.000000
171.480000,1.653882,0.170400,1.600000,0.000000,0.000000,0.000000
171.490000,1.651941,0.170200,1.600000,0.000000,0.000000,0.000000
171.500000,1.650000,0.170000,1.600000,0.000000,0.000000,0.000000
171.510000,1.648059,0.169800,1.600000,0.000000,0.000000,0.000000
171.520000,1.646118,0.169600,1.600000,0.000000,0.000000,0.000000
171.530000,1.644176,0.169400,1.600000,0.000000,0.000000,0.000000
171.540000,1.642235,0.169200,1.600000,0.000000,0.000000,0.000000
171.550000,1.640294,0.169000,1.600000,0.000000,0.000000,0.000000
171.560000,1.638353,0.168800,1.600000,0.000000,0.000000,0.000000
171.570000,1.636412,0.168600,1.600000,0.000000,0.000000,0.000000
171.580000,1.634471,0.168400,1.600000,0.000000,0.000000,0.000000
171.590000,1.632529,0.168200,1.600000,0.000000,0.000000,0.000000
171.600000,1.630588,0.168000,1.600000,0.000000,0.000000,0.000000
171.610000,1.628647,0.167800,1.600000,0.000000,0.000000,0.000000
171.620000,1.626706,0.167600,1.600000,0.000000,0.000000,0.000000
171.630000,1.624765,0.167400,1.600000,0.000000,0.000000,0.000000
171.640000,1.622824,0.167200,1.600000,0.000000,0.000000,0.000000
171.650000,1.620882,0.167000,1.600000,0.000000,0.000000,0.000000
171.660000,1.618941,0.166800,1.600000,0.000000,0.000000,0.000000
171.670000,1.617000,0.166600,1.600000,0.000000,0.000000,0.000000
171.680000,1.615059,0.166400,1.600000,0.000000,0.000000,0.000000
171.690000,1.613118,0.166200,1.600000,0.000000,0.000000,0.000000
171.700000,1.611176,0.166000,1.600000,0.000000,0.000000,0.000000
171.710000,1.609235,0.165800,1.600000,0.000000,0.000000,0.000000
171.720000,1.607294,0.165600,1.600000,0.000000,0.000000,0.000000
171.730000,1.605353,0.165400,1.600000,0.000000,0.000000,0.000000
171.740000,1.603412,0.165200,1.600000,0.000000,0.000000,0.000000
171.750000,1.601471,0.165000,1.600000,0.000000,0.000000,0.000000
171.760000,1.599529,0.164800,1.600000,0.000000,0.000000,0.000000
171.770000,1.597588,0.164600,1.600000,0.000000,0.000000,0.000000
171.780000,1.595647,0.164400,1.600000,0.000000,0.000000,0.000000
171.790000,1.593706,0.164200,1.600000,0.000000,0.000000,0.000000
171.800000,1.591765,0.164000,1.600000,0.000000,0.000000,0.000000
171.810000,1.589824,0.163800,1.600000,0.000000,0.000000,0.000000
171.820000,1.587882,0.163600,1.600000,0.000000,0.000000,0.000000
171.830000,1.585941,0.163400,1.600000,0.000000,0.000000,0.000000
171.840000,1.584000,0.163200,1.600000,0.000000,0.000000,0.000000
171.850000,1.582059,0.163000,1.600000,0.000000,0.000000,0.000000
171.860000,1.580118,0.162800,1.600000,0.000000,0.000000,0.000000
171.870000,1.578176,0.162600,1.600000,0.000000,0.000000,0.000000
171.880000,1.576235,0.162400,1.600000,0.000000,0.000000,0.000000
171.890000,1.574294,0.162200,1.600000,0.000000,0.000000,0.000000
171.900000,1.572353,0.162000,1.600000,0.000000,0.000000,0.000000
171.910000,1.570412,0.161800,1.600000,0.000000,0.000000,0.000000
171.920000,1.568471,0.161600,1.600000,0.000000,0.000000,0.000000
171.930000,1.566529,0.161400,1.600000,0.000000,0.000000,0.000000
171.940000,1.564588,0.161200,1.600000,0.000000,0.000000,0.000000
171.950000,1.562647,0.161000,1.600000,0.000000,0.000000,0.000000
171.960000,1.560706,0.160800,1.600000,0.000000,0.000000,0.000000
171.970000,1.558765,0.160600,1.600000,0.000000,0.000000,0.000000
171.980000,1.556824,0.160400,1.600000,0.000000,0.000000,0.000000
171.990000,1.554882,0.160200,1.600000,0.000000,0.000000,0.000000
172.000000,1.552941,0.160000,1.600000,0.000000,0.000000,0.000000
172.010000,1.551000,0.159800,1.600000,0.000000,0.000000,0.000000
172.020000,1.549059,0.159600,1.600000,0.000000,0.000000,0.000000
172.030000,1.547118,0.159400,1.600000,0.000000,0.000000,0.000000
172.040000,1.545176,0.159200,1.600000,0.000000,0.000000,0.000000
172.050000,1.543235,0.159000,1.600000,0.000000,0.000000,0.000000
172.060000,1.541294,0.158800,1.600000,0.000000,0.000000,0.000000
172.070000,1.539353,0.158600,1.600000,0.000000,0.000000,0.000000
172.080000,1.537412,0.158400,1.600000,0.000000,0.000000,0.000000
172.090000,1.535471,0.158200,1.600000,0.000000,0.000000,0.000000
172.100000,1.533529,0.158000,1.600000,0.000000,0.000000,0.000000
172.110000,1.531588,0.157800,1.600000,0.000000,0.000000,0.000000
172.120000,1.529647,0.157600,1.600000,0.000000,0.000000,0.000000
172.130000,1.527706,0.157400,1.600000,0.000000,0.000000,0.000000
172.140000,1.525765,0.157200,1.600000,0.000000,0.000000,0.000000
172.150000,1.523824,0.157000,1.600000,0.000000,0.000000,0.000000
172.160000,1.521882,0.156800,1.600000,0.000000,0.000000,0.000000
172.170000,1.519941,0.156600,1.600000,0.000000,0.000000,0.000000
172.180000,1.518000,0.156400,1.600000,0.000000,0.000000,0.000000
172.190000,1.516059,0.156200,1.600000,0.000000,0.000000,0.000000
172.200000,1.514118,0.156000,1.600000,0.000000,0.000000,0.000000
172.210000,1.512176,0.155800,1.600000,0.000000,0.000000,0.000000
172.220000,1.510235,0.155600,1.600000,0.000000,0.000000,0.000000
172.230000,1.508294,0.155400,1.600000,0.000000,0.000000,0.000000
172.240000,1.506353,0.155200,1.600000,0.000000,0.000000,0.000000
172.250000,1.504412,0.155000,1.600000,0.000000,0.000000,0.000000
172.260000,1.502471,0.154800,1.600000,0.000000,0.000000,0.000000
172.270000,1.500529,0.154600,1.600000,0.000000,0.000000,0.000000
172.280000,1.498588,0.154400,1.600000,0.000000,0.000000,0.000000
172.290000,1.496647,0.154200,1.600000,0.000000,0.000000,0.000000
172.300000,1.494706,0.154000,1.600000,0.000000,0.000000,0.000000
172.310000,1.492765,0.153800,1.600000,0.000000,0.000000,0.000000
172.320000,1.490824,0.153600,1.600000,0.000000,0.000000,0.000000
172.330000,1.488882,0.153400,1.600000,0.000000,0.000000,0.000000
172.340000,1.486941,0.153200,1.600000,0.000000,0.000000,0.000000
172.350000,1.485000,0.153000,1.600000,0.000000,0.000000,0.000000
172.360000,1.483059,0.152800,1.600000,0.000000,0.000000,0.000000
172.370000,1.481118,0.152600,1.600000,0.000000,0.000000,0.000000
172.380000,1.479176,0.152400,1.600000,0.000000,0.000000,0.000000
172.390000,1.477235,0.152200,1.600000,0.000000,0.000000,0.000000
172.400000,1.475294,0.152000,1.600000,0.000000,0.000000,0.000000
172.410000,1.473353,0.151800,1.600000,0.000000,0.000000,0.000000
172.420000,1.471412,0.151600,1.600000,0.000000,0.000000,0.000000
172.430000,1.469471,0.151400,1.600000,0.000000,0.000000,0.000000
172.440000,1.467529,0.151200,1.600000,0.000000,0.000000,0.000000
172.450000,1.465588,0.151000,1.600000,0.000000,0.000000,0.000000
172.460000,1.463647,0.150800,1.600000,0.000000,0.000000,0.000000
172.470000,1.461706,0.150600,1.600000,0.000000,0.000000,0.000000
172.480000,1.459765,0.150400,1.600000,0.000000,0.000000,0.000000
172.490000,1.457824,0.150200,1.600000,0.000000,0.000000,0.000000
172.500000,1.455882,0.150000,1.600000,0.000000,0.000000,0.000000
172.510000,1.453941,0.149800,1.600000,0.000000,0.000000,0.000000
172.520000,1.452000,0.149600,1.600000,0.000000,0.000000,0.000000
172.530000,1.450059,0.149400,1.600000,0.000000,0.000000,0.000000
172.540000,1.448118,0.149200,1.600000,0.000000,0.000000,0.000000
172.550000,1.446176,0.149000,1.600000,0.000000,0.000000,0.000000
172.560000,1.444235,0.148800,1.600000,0.000000,0.000000,0.000000
172.570000,1.442294,0.148600,1.600000,0.000000,0.000000,0.000000
172.580000,1.440353,0.148400,1.600000,0.000000,0.000000,0.000000
172.590000,1.438412,0.148200,1.600000,0.000000,0.000000,0.000000
172.600000,1.436471,0.148000,1.600000,0.000000,0.000000,0.000000
172.610000,1.434529,0.147800,1.600000,0.000000,0.000000,0.000000
172.620000,1.432588,0.147600,1.600000,0.000000,0.000000,0.000000
172.630000,1.430647,0.147400,1.600000,0.000000,0.000000,0.000000
172.640000,1.428706,0.147200,1.600000,0.000000,0.000000,0.000000
172.650000,1.426765,0.147000,1.600000,0.000000,0.000000,0.000000
172.660000,1.424824,0.146800,1.600000,0.000000,0.000000,0.000000
172.670000,1.422882,0.146600,1.600000,0.000000,0.000000,0.000000
172.680000,1.420941,0.146400,1.600000,0.000000,0.000000,0.000000
172.690000,1.419000,0.146200,1.600000,0.000000,0.000000,0.000000
172.700000,1.417059,0.146000,1.600000,0.000000,0.000000,0.000000
172.710000,1.415118,0.145800,1.600000,0.000000,0.000000,0.000000
172.720000,1.413176,0.145600,1.600000,0.000000,0.000000,0.000000
172.730000,1.411235,0.145400,1.600000,0.000000,0.000000,0.000000
172.740000,1.409294,0.145200,1.600000,0.000000,0.000000,0.000000
172.750000,1.407353,0.145000,1.600000,0.000000,0.000000,0.000000
172.760000,1.405412,0.144800,1.600000,0.000000,0.000000,0.000000
172.770000,1.403471,0.144600,1.600000,0.000000,0.000000,0.000000
172.780000,1.401529,0.144400,1.600000,0.000000,0.000000,0.000000
172.790000,1.399588,0.144200,1.600000,0.000000,0.000000,0.000000
172.800000,1.397647,0.144000,1.600000,0.000000,0.000000,0.000000
172.810000,1.395706,0.143800,1.600000,0.000000,0.000000,0.000000
172.820000,1.393765,0.143600,1.600000,0.000000,0.000000,0.000000
172.830000,1.391824,0.143400,1.600000,0.000000,0.000000,0.000000
172.840000,1.389882,0.143200,1.600000,0.000000,0.000000,0.000000
172.850000,1.387941,0.143000,1.600000,0.000000,0.000000,0.000000
172.860000,1.386000,0.142800,1.600000,0.000000,0.000000,0.000000
172.870000,1.384059,0.142600,1.600000,0.000000,0.000000,0.000000
172.880000,1.382118,0.142400,1.600000,0.000000,0.000000,0.000000
172.890000,1.380176,0.142200,1.600000,0.000000,0.000000,0.000000
172.900000,1.378235,0.142000,1.600000,0.000000,0.000000,0.000000
172.910000,1.376294,0.141800,1.600000,0.000000,0.000000,0.000000
172.920000,1.374353,0.141600,1.600000,0.000000,0.000000,0.000000
172.930000,1.372412,0.141400,1.600000,0.000000,0.000000,0.000000
172.940000,1.370471,0.141200,1.600000,0.000000,0.000000,0.000000
172.950000,1.368529,0.141000,1.600000,0.000000,0.000000,0.000000
172.960000,1.366588,0.140800,1.600000,0.000000,0.000000,0.000000
172.970000,1.364647,0.140600,1.600000,0.000000,0.000000,0.000000
172.980000,1.362706,0.140400,1.600000,0.000000,0.000000,0.000000
172.990000,1.360765,0.140200,1.600000,0.000000,0.000000,0.000000
173.000000,1.358824,0.140000,1.600000,0.000000,0.000000,0.000000
173.010000,1.356882,0.139800,1.600000,0.000000,0.000000,0.000000
173.020000,1.354941,0.139600,1.600000,0.000000,0.000000,0.000000
173.030000,1.353000,0.139400,1.600000,0.000000,0.000000,0.000000
173.040000,1.351059,0.139200,1.600000,0.000000,0.000000,0.000000
173.050000,1.349118,0.139000,1.600000,0.000000,0.000000,0.000000
173.060000,1.347176,0.138800,1.600000,0.000000,0.000000,0.000000
173.070000,1.345235,0.138600,1.600000,0.000000,0.000000,0.000000
173.080000,1.343294,0.138400,1.600000,0.000000,0.000000,0.000000
173.090000,1.341353,0.138200,1.600000,0.000000,0.000000,0.000000
173.100000,1.339412,0.138000,1.600000,0.000000,0.000000,0.000000
173.110000,1.337471,0.137800,1.600000,0.000000,0.000000,0.000000
173.120000,1.335529,0.137600,1.600000,0.000000,0.000000,0.000000
173.130000,1.333588,0.137400,1.600000,0.000000,0.000000,0.000000
173.140000,1.331647,0.137200,1.600000,0.000000,0.000000,0.000000
173.150000,1.329706,0.137000,1.600000,0.000000,0.000000,0.000000
173.160000,1.327765,0.136800,1.600000,0.000000,0.000000,0.000000
173.170000,1.325824,0.136600,1.600000,0.000000,0.000000,0.000000
173.180000,1.323882,0.136400,1.600000,0.000000,0.000000,0.000000
173.190000,1.321941,0.136200,1.600000,0.000000,0.000000,0.000000
173.200000,1.320000,0.136000,1.600000,0.000000,0.000000,0.000000
173.210000,1.318059,0.135800,1.600000,0.000000,0.000000,0.000000
173.220000,1.316118,0.135600,1.600000,0.000000,0.000000,0.000000
173.230000,1.314176,0.135400,1.600000,0.000000,0.000000,0.000000
173.240000,1.312235,0.135200,1.600000,0.000000,0.000000,0.000000
173.250000,1.310294,0.135000,1.600000,0.000000,0.000000,0.000000
173.260000,1.308353,0.134800,1.600000,0.000000,0.000000,0.000000
173.270000,1.306412,0.134600,1.600000,0.000000,0.000000,0.000000
173.280000,1.304471,0.134400,1.600000,0.000000,0.000000,0.000000
173.290000,1.302529,0.134200,1.600000,0.000000,0.000000,0.000000
173.300000,1.300588,0.134000,1.600000,0.000000,0.000000,0.000000
173.310000,1.298647,0.133800,1.600000,0.000000,0.000000,0.000000
173.320000,1.296706,0.133600,1.600000,0.000000,0.000000,0.000000
173.330000,1.294765,0.133400,1.600000,0.000000,0.000000,0.000000
173.340000,1.292824,0.133200,1.600000,0.000000,0.000000,0.000000
173.350000,1.290882,0.133000,1.600000,0.000000,0.000000,0.000000
173.360000,1.288941,0.132800,1.600000,0.000000,0.000000,0.000000
173.370000,1.287000,0.132600,1.600000,0.000000,0.000000,0.000000
173.380000,1.285059,0.132400,1.600000,0.000000,0.000000,0.000000
173.390000,1.283118,0.132200,1.600000,0.000000,0.000000,0.000000
173.400000,1.281176,0.132000,1.600000,0.000000,0.000000,0.000000
173.410000,1.279235,0.131800,1.600000,0.000000,0.000000,0.000000
173.420000,1.277294,0.131600,1.600000,0.000000,0.000000,0.000000
173.430000,1.275353,0.131400,1.600000,0.000000,0.000000,0.000000
173.440000,1.273412,0.131200,1.600000,0.000000,0.000000,0.000000
173.450000,1.271471,0.131000,1.600000,0.000000,0.000000,0.000000
173.460000,1.269529,0.130800,1.600000,0.000000,0.000000,0.000000
173.470000,1.267588,0.130600,1.600000,0.000000,0.000000,0.000000
173.480000,1.265647,0.130400,1.600000,0.000000,0.000000,0.000000
173.490000,1.263706,0.130200,1.600000,0.000000,0.000000,0.000000
