t,x,y,z,fx,fy,fz
17.750000,1.334722,0.107639,1.600000,0.000000,0.000000,0.000000
17.760000,1.336444,0.107778,1.600000,0.000000,0.000000,0.000000
17.770000,1.338167,0.107917,1.600000,0.000000,0.000000,0.000000
17.780000,1.339889,0.108056,1.600000,0.000000,0.000000,0.000000
17.790000,1.341611,0.108194,1.600000,0.000000,0.000000,0.000000
17.800000,1.343333,0.108333,1.600000,0.000000,0.000000,0.000000
17.810000,1.345056,0.108472,1.600000,0.000000,0.000000,0.000000
17.820000,1.346778,0.108611,1.600000,0.000000,0.000000,0.000000
17.830000,1.348500,0.108750,1.600000,0.000000,0.000000,0.000000
17.840000,1.350222,0.108889,1.600000,0.000000,0.000000,0.000000
17.850000,1.351944,0.109028,1.600000,0.000000,0.000000,0.000000
17.860000,1.353667,0.109167,1.600000,0.000000,0.000000,0.000000
17.870000,1.355389,0.109306,1.600000,0.000000,0.000000,0.000000
17.880000,1.357111,0.109444,1.600000,0.000000,0.000000,0.000000
17.890000,1.358833,0.109583,1.600000,0.000000,0.000000,0.000000
17.900000,1.360556,0.109722,1.600000,0.000000,0.000000,0.000000
17.910000,1.362278,0.109861,1.600000,0.000000,0.000000,0.000000
17.920000,1.364000,0.110000,1.600000,0.000000,0.000000,0.000000
17.930000,1.365722,0.110139,1.600000,0.000000,0.000000,0.000000
17.940000,1.367444,0.110278,1.600000,0.000000,0.000000,0.000000
17.950000,1.369167,0.110417,1.600000,0.000000,0.000000,0.000000
17.960000,1.370889,0.110556,1.600000,0.000000,0.000000,0.000000
17.970000,1.372611,0.110694,1.600000,0.000000,0.000000,0.000000
17.980000,1.374333,0.110833,1.600000,0.000000,0.000000,0.000000
17.990000,1.376056,0.110972,1.600000,0.000000,0.000000,0.000000
18.000000,1.377778,0.111111,1.600000,0.000000,0.000000,0.000000
18.010000,1.379500,0.111250,1.600000,0.000000,0.000000,0.000000
18.020000,1.381222,0.111389,1.600000,0.000000,0.000000,0.000000
18.030000,1.382944,0.111528,1.600000,0.000000,0.000000,0.000000
18.040000,1.384667,0.111667,1.600000,0.000000,0.000000,0.000000
18.050000,1.386389,0.111806,1.600000,0.000000,0.000000,0.000000
18.060000,1.388111,0.111944,1.600000,0.000000,0.000000,0.000000
18.070000,1.389833,0.112083,1.600000,0.000000,0.000000,0.000000
18.080000,1.391556,0.112222,1.600000,0.000000,0.000000,0.000000
18.090000,1.393278,0.112361,1.600000,0.000000,0.000000,0.000000
18.100000,1.395000,0.112500,1.600000,0.000000,0.000000,0.000000
18.110000,1.396722,0.112639,1.600000,0.000000,0.000000,0.000000
18.120000,1.398444,0.112778,1.600000,0.000000,0.000000,0.000000
18.130000,1.400167,0.112917,1.600000,0.000000,0.000000,0.000000
18.140000,1.401889,0.113056,1.600000,0.000000,0.000000,0.000000
18.150000,1.403611,0.113194,1.600000,0.000000,0.000000,0.000000
18.160000,1.405333,0.113333,1.600000,0.000000,0.000000,0.000000
18.170000,1.407056,0.113472,1.600000,0.000000,0.000000,0.000000
18.180000,1.408778,0.113611,1.600000,0.000000,0.000000,0.000000
18.190000,1.410500,0.113750,1.600000,0.000000,0.000000,0.000000
18.200000,1.412222,0.113889,1.600000,0.000000,0.000000,0.000000
18.210000,1.413944,0.114028,1.600000,0.000000,0.000000,0.000000
18.220000,1.415667,0.114167,1.600000,0.000000,0.000000,0.000000
18.230000,1.417389,0.114306,1.600000,0.000000,0.000000,0.000000
18.240000,1.419111,0.114444,1.600000,0.000000,0.000000,0.000000
