t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
1.147000000000000064e+01,2.287958658802639045e-01,-1.151777618697115702e-01,6.918083209336413075e-01,6.805466793068802589e-02,7.894881363693247167e-02,6.805466793068802589e-02,9.922218548142387462e-01,4.063470275164210443e-02,-4.613508300159441244e-03,2.725090681042208196e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.148000000000000043e+01,2.292024833256287863e-01,-1.152230298391761637e-01,6.920805743653138942e-01,6.810183292591147353e-02,7.901256103331018299e-02,6.810183292591147353e-02,9.922103083032447479e-01,4.068841583699522868e-02,-4.439900312396688475e-03,2.719976916539801337e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.149000000000000021e+01,2.296096341970038091e-01,-1.152665598759595039e-01,6.923523163169492678e-01,6.814897313243382937e-02,7.907629011756849013e-02,6.814897313243382937e-02,9.921987579427984372e-01,4.074138687606421172e-02,-4.265923347501754392e-03,2.714861083101816064e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000000e+01,2.300173110631500706e-01,-1.153083483061261988e-01,6.926235465819342574e-01,6.819608854482990534e-02,7.914000086581070292e-02,6.819608854482990534e-02,9.921872037460122140e-01,4.079361372041900857e-02,-4.091580578446940564e-03,2.709743186337099097e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150999999999999979e+01,2.304255064714121892e-01,-1.153483914875284427e-01,6.928942649542166876e-01,6.824317915768723930e-02,7.920369325414633455e-02,6.824317915768723930e-02,9.921756457260009210e-01,4.084509423520343852e-02,-3.916875189731439111e-03,2.704623231858938048e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.151999999999999957e+01,2.308342129478541394e-01,-1.153866858099208276e-01,6.931644712283060450e-01,6.829024496560580360e-02,7.926736725869100442e-02,6.829024496560578972e-02,9.921640838958800668e-01,4.089582629919763512e-02,-3.741810377311943769e-03,2.699501225282285866e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.152999999999999936e+01,2.312434229973961419e-01,-1.154232276950746816e-01,6.934341651992731448e-01,6.833728596319807447e-02,7.933102285556642430e-02,6.833728596319807447e-02,9.921525182687679356e-01,4.094580780486384297e-02,-3.566389348558934858e-03,2.694377172223760830e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.154000000000000092e+01,2.316531291039514162e-01,-1.154580135968920063e-01,6.937033466627507972e-01,6.838430214508917082e-02,7.939466002090056485e-02,6.838430214508915694e-02,9.921409488577840330e-01,4.099503665840747990e-02,-3.390615322190759784e-03,2.689251078302756781e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.155000000000000071e+01,2.320633237305642915e-01,-1.154910400015184968e-01,6.939720154149336961e-01,6.843129350591653504e-02,7.945827873082747517e-02,6.843129350591653504e-02,9.921293756760497518e-01,4.104351077985762819e-02,-3.214491528210489113e-03,2.684122949139777781e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.156000000000000050e+01,2.324739993195485688e-01,-1.155223034274562161e-01,6.942401712525787527e-01,6.847826004033030767e-02,7.952187896148743551e-02,6.847826004033030767e-02,9.921177987366883722e-01,4.109122810310311680e-02,-3.038021207855262640e-03,2.678992790359213672e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.157000000000000028e+01,2.328851482926263539e-01,-1.155518004256756021e-01,6.945078139730055389e-01,6.852520174299302214e-02,7.958546068902695725e-02,6.852520174299302214e-02,9.921062180528249508e-01,4.113818657594664474e-02,-2.861207613531757676e-03,2.673860607587119631e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.158000000000000007e+01,2.332967630510675017e-01,-1.155795275797268512e-01,6.947749433740961766e-01,6.857211860857966024e-02,7.964902388959861634e-02,6.857211860857966024e-02,9.920946336375860986e-01,4.118438416017833337e-02,-2.684054008757208454e-03,2.668726406450661059e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.158999999999999986e+01,2.337088359758299205e-01,-1.156054815058507462e-01,6.950415592542956711e-01,6.861901063177777704e-02,7.971256853936142805e-02,6.861901063177777704e-02,9.920830455040996476e-01,4.122981883161180860e-02,-2.506563668101119413e-03,2.663590192580889138e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.159999999999999964e+01,2.341213594276997378e-01,-1.156296588530888736e-01,6.953076614126123545e-01,6.866587780728736212e-02,7.977609461448045836e-02,6.866587780728736212e-02,9.920714536654963167e-01,4.127448858016330435e-02,-2.328739877121427382e-03,2.658451971610520381e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.160999999999999943e+01,2.345343257474331866e-01,-1.156520563033931748e-01,6.955732496486177752e-01,6.871272012982082567e-02,7.983960209112711537e-02,6.871272012982081179e-02,9.920598581349070466e-01,4.131839140990856141e-02,-2.150585932307602643e-03,2.653311749173936640e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
